name,bus,p_nom_extendable,p_nom_max,capital_cost,build_year,cyclic_state_of_charge,max_hours,p_nom_opt
ATG Storage,Antigua,True,70.0,90213.0,0,True,6.0,70.0
BRB Storage,Barbados,True,200.0,90213.0,0,True,6.0,200.0
DMA Storage,Dominica,True,20.0,90213.0,0,True,6.0,-0.0
GLP Storage,Guadeloupe,True,320.0,90213.0,0,True,6.0,320.0
GRD Storage,Grenada,True,45.0,90213.0,0,True,6.0,33.47121592902118
LCA Storage,SaintLucia,True,75.0,90213.0,0,True,6.0,75.0
MSR Storage,Montserrat,True,3.0,90213.0,0,True,6.0,0.7281780105797603
MTQ Storage,Martinique,True,250.0,90213.0,0,True,6.0,250.0
SKN Storage,SaintKittsNevis,True,45.0,90213.0,0,True,6.0,45.0
SVG Storage,SaintVincentGrenadines,True,30.0,90213.0,0,True,6.0,11.652070219665118
