name,x,y
SaintKittsNevis,-62.5,17.0
Antigua,-62.0,17.0
Guadeloupe,-61.5,16.0
Montserrat,-62.0,16.5
Dominica,-61.5,15.5
Martinique,-61.0,14.5
SaintLucia,-61.0,14.0
Barbados,-59.5,13.0
SaintVincentGrenadines,-61.0,13.0
Grenada,-61.5,12.0
Antigua Hydrogen,-62.0,17.0
Barbados Hydrogen,-59.5,13.0
Guadeloupe Hydrogen,-61.5,16.0
Martinique Hydrogen,-61.0,14.5
SaintLucia Hydrogen,-61.0,14.0
SaintVincentGrenadines Hydrogen,-61.0,13.0
Grenada Hydrogen,-61.5,12.0
SaintKittsNevis Hydrogen,-62.5,17.0
Montserrat Hydrogen,-62.0,16.5
Dominica Hydrogen,-61.5,15.5
