name,bus0,bus1,efficiency,p_nom_extendable,capital_cost,carrier,build_year,p_nom_opt
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,True,85000.0,AC,0,13.056734731462502
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,True,42500.0,AC,0,30.262111588552635
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,True,85000.0,AC,0,63.65851190476165
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,True,42500.0,AC,0,72.9405405405404
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,True,85000.0,AC,0,31.014656168866992
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,True,42500.0,AC,0,88.2204623818196
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,True,85000.0,AC,0,28.344855233597773
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,True,42500.0,AC,0,70.85268396134751
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,True,85000.0,AC,0,10.388276721742452
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,True,42500.0,AC,0,28.846382795822407
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,True,85000.0,AC,0,4.203186450074041
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,True,42500.0,AC,0,4.929710446117763
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,True,85000.0,AC,0,10.852841475395264
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,True,42500.0,AC,0,11.881062058200515
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,True,85000.0,AC,0,6.905536445611551
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,True,42500.0,AC,0,8.644026997501362
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,True,85000.0,AC,0,0.06544307214910486
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,True,42500.0,AC,0,0.2660943408308957
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,True,85000.0,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,True,42500.0,AC,0,-0.0
