name,bus0,bus1,p_min_pu,p_nom_extendable,length,capital_cost,p_nom_max,carrier,build_year,p_nom_opt
SKN MSR link,SaintKittsNevis,Montserrat,-1.0,True,81.0,76447.8,2.5,AC,0,0.7266249999999999
MSR ATG link,Montserrat,Antigua,-1.0,True,54.0,50965.2,2.5,AC,0,2.5
ATG GLP link,Antigua,Guadeloupe,-1.0,True,92.0,86829.6,60.0,AC,0,17.95438398682804
GLP DMA link,Guadeloupe,Dominica,-1.0,True,96.0,90604.8,20.0,AC,0,20.0
DMA MTQ link,Dominica,Martinique,-1.0,True,94.0,88717.2,20.0,AC,0,1.7787379351216783
MTQ LCA link,Martinique,SaintLucia,-1.0,True,82.0,77391.6,60.0,AC,0,18.988980107794315
LCA SVG link,SaintLucia,SaintVincentGrenadines,-1.0,True,44.0,41527.2,25.0,AC,0,12.083569985027118
SVG GRD link,SaintVincentGrenadines,Grenada,-1.0,True,112.0,105705.6,25.0,AC,0,8.780821715291497
SVG BRB link,SaintVincentGrenadines,Barbados,-1.0,True,170.0,160446.0,25.0,AC,0,25.0
LCA BRB link,SaintLucia,Barbados,-1.0,True,150.0,141570.0,60.0,AC,0,23.794589877232806
